央视,#genre#
CCTV1,http://211.137.1.166:7050/CCTV1HD.m3u8
CCTV2,http://211.137.1.166:7050/CCTV2HD.m3u8
CCTV3,http://211.137.1.166:7050/CCTV3HD.m3u8
CCTV4,http://211.137.1.166:7050/CCTV4HD.m3u8
CCTV4美洲,http://211.137.1.166:7050/CCTV4MZ.m3u8
CCTV4欧洲,http://211.137.1.166:7050/CCTV4OZ.m3u8
CCTV5,http://211.137.1.166:7050/CCTV5HD.m3u8
CCTV5+,http://211.137.1.166:7050/CCTV5PULS.m3u8
CCTV6,http://211.137.1.166:7050/CCTV6HD.m3u8
CHC动作电影,https://ali.hlspull.yximgs.com/live/diyp_chcdongzuo.flv
CHC家庭影院,https://ali.hlspull.yximgs.com/live/diyp_chcjiating.flv
CHC高清电影,https://ali.hlspull.yximgs.com/live/diyp_chcyingmi.flv
CHC家庭影院,http://103.213.161.149:8182/hls/TV00000000000000000092@HHZT.m3u8
