央视,#genre#
CCTV1,http://211.137.1.166:7050/CCTV1HD.m3u8
CCTV2,http://211.137.1.166:7050/CCTV2HD.m3u8
CCTV3,http://211.137.1.166:7050/CCTV3HD.m3u8
CCTV4,http://211.137.1.166:7050/CCTV4HD.m3u8
CCTV4美洲,http://211.137.1.166:7050/CCTV4MZ.m3u8
CCTV4欧洲,http://211.137.1.166:7050/CCTV4OZ.m3u8
CCTV5,http://211.137.1.166:7050/CCTV5HD.m3u8
CCTV5+,http://211.137.1.166:7050/CCTV5PULS.m3u8
CCTV6,http://211.137.1.166:7050/CCTV6HD.m3u8
CHC动作电影,https://ali.hlspull.yximgs.com/live/diyp_chcdongzuo.flv
CHC家庭影院,https://ali.hlspull.yximgs.com/live/diyp_chcjiating.flv
CHC高清电影,https://ali.hlspull.yximgs.com/live/diyp_chcyingmi.flv
CHC家庭影院,http://103.213.161.149:8182/hls/TV00000000000000000092@HHZT.m3u8
CHC动作电影,http://103.213.161.149:8182/hls/TV00000000000000000093@HHZT.m3u8
CHC高清电影,http://103.213.161.149:8182/hls/TV00000000000000000094@HHZT.m3u8
CHC家庭影院,http://103.213.161.149:8182/hls/TV00000000000000000195@HHZT.m3u8
1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905dy
CCTV7,http://211.137.1.166:7050/CCTV7HD.m3u8
CCTV8,http://211.137.1.166:7050/CCTV8HD.m3u8
CCTV9,http://211.137.1.166:7050/CCTV9HD.m3u8
CCTV10,http://211.137.1.166:7050/CCTV10HD.m3u8
CCTV11,http://211.137.1.166:7050/CCTV11HD.m3u8
CCTV12,http://211.137.1.166:7050/CCTV12HD.m3u8
CCTV13,http://211.137.1.166:7050/CCTV13HD.m3u8
CCTV14,http://211.137.1.166:7050/CCTV14HD.m3u8
CCTV15,http://211.137.1.166:7050/CCTV15HD.m3u8
CCTV16,http://yuju13710993444.x3322.net:4021/udp/239.12.22.124:10001
CCTV16,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16,http://dvb1002.8866.org:9000/rtp/239.3.1.184:8001
CCTV16,http://103.213.161.149:8182/hls/TV00000000000000000136@HHZT.m3u8
CCTV17,http://211.137.1.166:7050/CCTV17HD.m3u8
CCTV1,http://211.137.1.166:7050/CCTV1.m3u8
CCTV2,http://211.137.1.166:7050/CCTV2.m3u8
CCTV3,http://211.137.1.166:7050/CCTV3.m3u8
CCTV4,http://211.137.1.166:7050/CCTV4.m3u8
CCTV5,http://211.137.1.166:7050/CCTV5.m3u8
CCTV6,http://211.137.1.166:7050/CCTV6.m3u8
CCTV7,http://211.137.1.166:7050/CCTV7.m3u8
CCTV8,http://211.137.1.166:7050/CCTV8.m3u8
CCTV9,http://211.137.1.166:7050/CCTV9.m3u8
CCTV10,http://211.137.1.166:7050/CCTV10.m3u8
CCTV11,http://211.137.1.166:7050/CCTV11.m3u8
CCTV12,http://211.137.1.166:7050/CCTV12.m3u8
CCTV13,http://211.137.1.166:7050/CCTV13.m3u8
CCTV14,http://211.137.1.166:7050/CCTV14.m3u8
CCTV15,http://211.137.1.166:7050/CCTV16.m3u8

CCTV17,http://211.137.1.166:7050/CCTV17.m3u8
CGTN,http://211.137.1.166:7050/CGTN.m3u8
CGTN,http://211.137.1.166:7050/CGTNE.m3u8
CGTN纪录,http://211.137.1.166:7050/CGTNJL.m3u8
CGTN俄罗斯,http://211.137.1.166:7050/CGTNEY.m3u8
CGTN法语,http://211.137.1.166:7050/CGTNFY.m3u8
CGTN阿拉伯,http://211.137.1.166:7050/CGTNALB.m3u8
CGTN西班牙,http://211.137.1.166:7050/CGTNSBY.m3u8
纪实科教,http://211.137.1.166:7050/BJJSHD.m3u8
纪实人文,http://211.137.1.166:7050/JSHD.m3u8
金鹰纪实,http://211.137.1.166:7050/JYJSHD.m3u8
电视指南,http://211.137.1.166:7050/DSZNHD.m3u8
兵器科技,http://211.137.1.166:7050/BQKJHD.m3u8
文化精品,http://211.137.1.166:7050/WHJPHD.m3u8
世界地理,http://211.137.1.166:7050/SJDLHD.m3u8
怀旧剧场,http://211.137.1.166:7050/HJJCHD.m3u8
风云剧场,http://211.137.1.166:7050/FYJCHD.m3u8
第一剧场,http://211.137.1.166:7050/DYJCHD.m3u8
都市剧场,http://211.137.1.166:7050/DSJC.m3u8
欢笑剧场,http://211.137.1.166:7050/HXJC.m3u8
风云足球,http://211.137.1.166:7050/FYZQHD.m3u8
央视台球,http://211.137.1.166:7050/YSTQHD.m3u8
风云音乐,http://211.137.1.166:7050/FYYYHD.m3u8
女性时尚,http://211.137.1.166:7050/NXSSHD.m3u8
电视指南,http://211.137.1.166:7050/DSZN.m3u8
风云音乐,http://211.137.1.166:7050/FYYY.m3u8
法治天地,http://211.137.1.166:7050/FZTD.m3u8
风云足球,http://211.137.1.166:7050/FYZQ.m3u8
环球奇观,http://211.137.1.166:7050/HQQG.m3u8
早期教育,http://211.137.1.166:7050/JQJY.m3u8
金色学堂,http://211.137.1.166:7050/JSPD.m3u8
家庭理财,http://211.137.1.166:7050/JTLC.m3u8
极速汽车,http://211.137.1.166:7050/JSQC.m3u8
梨园频道,http://211.137.1.166:7050/LY.m3u8
网络棋牌,http://211.137.1.166:7050/MLQP.m3u8
女性时尚,http://211.137.1.166:7050/NXSS.m3u8
生活时尚,http://211.137.1.166:7050/SHSSHD.m3u8
乐游,http://211.137.1.166:7050/QJS.m3u8
世界地理,http://211.137.1.166:7050/SJDL.m3u8
文化精品,http://211.137.1.166:7050/WHJP.m3u8
